net,length_um
u_cpu.rst_n,2499.62
u_cpu.REG_FILE._01060_,1196.91
u_cpu.REG_FILE._01184_,1132.59
u_cpu.ALU.SrcB\[23\],1098.16
io_out[11],1095.55
u_cpu.REG_FILE._01030_,1094.93
io_out[30],1089.64
u_cpu.REG_FILE._01099_,1081.69
u_cpu.REG_FILE._01096_,1074.82
io_out[28],1061.12
io_out[5],1059.78
u_cpu.REG_FILE._02790_,1039.05
u_cpu.REG_FILE._01083_,1036.36
u_cpu.REG_FILE._01333_,1031.475
u_cpu.ALU.SrcB\[22\],1030.16
u_cpu.REG_FILE._03023_,1020.85
u_cpu.REG_FILE._01340_,1004.36
u_cpu.REG_FILE._01077_,995.09
u_cpu.ALU.SrcB\[20\],992.07
u_cpu.ALU.SrcB\[26\],985.09
u_cpu.REG_FILE._02838_,983.42
u_cpu.REG_FILE._02808_,973.89
u_cpu.ALU.SrcB\[29\],973.27
u_cpu.REG_FILE._01090_,969.47
u_cpu._0520_,944.61
u_cpu.ALU.SrcB\[24\],942.85
u_cpu.REG_FILE._01033_,942.48
u_cpu.ALU.SrcB\[25\],942.325
io_out[31],939.29
u_cpu.REG_FILE._02826_,938.5
u_cpu.ALU.SrcB\[21\],933.48
io_out[14],931.25
u_cpu.REG_FILE._01118_,928.39
u_cpu.REG_FILE._03142_,927.21
u_cpu.REG_FILE._03143_,924.47
u_cpu.REG_FILE._02804_,918.36
u_cpu.REG_FILE._01039_,916.41
io_out[20],914.38
u_cpu.REG_FILE._01618_,914.26
u_cpu.REG_FILE._03062_,914.26
u_cpu.ALU.SrcB\[30\],911.16
u_cpu.REG_FILE._02807_,910.12
u_cpu.REG_FILE._01325_,908.92
wb_clk_i,906.81
u_cpu.REG_FILE._03024_,904.88
u_cpu.REG_FILE._02772_,901.23
io_out[24],898.26
u_cpu.REG_FILE._01120_,897.06
io_out[13],896.73
u_cpu.led\[0\],896.345
u_cpu.REG_FILE._01151_,893.88
u_cpu.REG_FILE._02797_,893.84
u_cpu.REG_FILE._01069_,891.42
u_cpu.ALU.SrcA\[23\],888.06
u_cpu.REG_FILE._02945_,886.44
u_cpu.REG_FILE._03204_,880.4
u_cpu.REG_FILE._02788_,878.17
u_cpu.ALU.SrcB\[27\],873.68
u_cpu.REG_FILE._02848_,873.24
u_cpu.REG_FILE._02811_,873.08
u_cpu.REG_FILE._02816_,872.67
clknet_0_wb_clk_i,869.755
u_cpu._0619_,867.59
u_cpu.REG_FILE._01059_,867.48
u_cpu.REG_FILE._01408_,865.62
u_cpu.REG_FILE._01407_,865.01
u_cpu.ALU.SrcA\[19\],863.77
u_cpu.ALU.SrcB\[7\],854.59
u_cpu.REG_FILE._03016_,852.19
u_cpu.REG_FILE._01387_,851.46
u_cpu.REG_FILE._01061_,850.36
u_cpu.REG_FILE._01133_,845.07
u_cpu.ALU.SrcA\[26\],842.47
u_cpu.REG_FILE._03351_,842.18
u_cpu.ALU.SrcA\[7\],840.56
u_cpu.REG_FILE._01327_,838.57
u_cpu.REG_FILE._01258_,834.58
u_cpu.REG_FILE._02818_,829.06
u_cpu.ALU.SrcA\[8\],827.42
u_cpu.REG_FILE._02987_,826.13
u_cpu.REG_FILE._05244_,825.86
u_cpu.REG_FILE._02801_,825.1
u_cpu.REG_FILE._03255_,822.3
u_cpu.REG_FILE._05254_,821.18
u_cpu.REG_FILE._01038_,820.745
io_out[29],819.64
u_cpu.ALU.SrcA\[14\],818.46
u_cpu.REG_FILE._01239_,817.96
u_cpu.REG_FILE._02870_,816.44
u_cpu.REG_FILE._02947_,815.13
u_cpu.REG_FILE._02968_,814.99
u_cpu.ALU.SrcA\[21\],814.17
u_cpu.REG_FILE._02978_,813.88
u_cpu.REG_FILE._02765_,813.22
u_cpu.REG_FILE._01329_,812.9
u_cpu.REG_FILE._02759_,808.61
u_cpu.REG_FILE._03815_,808.38
u_cpu.REG_FILE._02931_,806.025
u_cpu.REG_FILE._01063_,804.41
u_cpu.REG_FILE._02749_,800.65
u_cpu.REG_FILE._02983_,799.45
u_cpu.REG_FILE._02858_,798.29
u_cpu.REG_FILE._01081_,796.94
u_cpu.REG_FILE._01330_,794.94
u_cpu.ALU.SrcA\[20\],794.52
u_cpu.REG_FILE._02859_,793.7
u_cpu.REG_FILE._03201_,790.09
u_cpu.REG_FILE._02793_,787.12
u_cpu.REG_FILE._02814_,786.96
u_cpu.REG_FILE._02880_,786.955
u_cpu.REG_FILE._01382_,783.89
u_cpu.REG_FILE._02754_,782.355
u_cpu.REG_FILE._02812_,781.33
io_out[37],780.85
u_cpu.REG_FILE._02986_,780.62
u_cpu.REG_FILE._01299_,778.12
u_cpu.REG_FILE._02794_,777.98
u_cpu.IMEM._0003_,776.45
u_cpu.REG_FILE._03308_,775.32
u_cpu.REG_FILE._02845_,774.59
u_cpu.REG_FILE._02846_,774.04
u_cpu.ALU.SrcB\[31\],774.005
u_cpu.REG_FILE._04680_,770.1
u_cpu._0553_,769.26
u_cpu.REG_FILE._05630_,768.64
u_cpu.ALU.SrcB\[28\],767.89
u_cpu.ALU.SrcA\[25\],767.22
u_cpu.REG_FILE._01082_,766.47
u_cpu.REG_FILE._02771_,764.93
u_cpu.REG_FILE._02974_,764.08
u_cpu.REG_FILE._03800_,764.02
u_cpu.REG_FILE._01305_,760.4
u_cpu.REG_FILE._03403_,758.72
u_cpu.REG_FILE._03377_,757.42
u_cpu.REG_FILE._01503_,755.68
u_cpu.REG_FILE._02853_,753.48
u_cpu.REG_FILE._02973_,752.64
u_cpu.ALU.u_wallace._1848_,752.45
u_cpu.ALU.SrcA\[22\],750.7
u_cpu.REG_FILE._02946_,747.53
u_cpu.REG_FILE._01317_,747.23
io_out[8],747.2
u_cpu.REG_FILE._04682_,745.38
u_cpu.REG_FILE._01598_,745.35
u_cpu.REG_FILE._02761_,745.2
u_cpu.REG_FILE._03021_,743.7
u_cpu.REG_FILE._01269_,743.2
u_cpu.REG_FILE._02954_,742.71
u_cpu.REG_FILE._03198_,740.34
u_cpu._0467_,739.71
u_cpu.REG_FILE._03002_,737.6
u_cpu.REG_FILE._03017_,734.84
u_cpu.REG_FILE._02810_,734.69
io_out[19],733.73
u_cpu.REG_FILE._03071_,732.83
u_cpu.REG_FILE._01523_,732.18
u_cpu.REG_FILE._01087_,731.4
u_cpu.REG_FILE._02960_,731.09
u_cpu.REG_FILE._01094_,729.4
u_cpu.ALU.u_wallace._0151_,725.32
u_cpu.REG_FILE._01284_,724.86
u_cpu.REG_FILE._01093_,724.06
u_cpu.REG_FILE._03050_,723.825
u_cpu.ALU.SrcB\[11\],722.74
u_cpu.REG_FILE._03008_,722.23
u_cpu.ALU.SrcA\[28\],721.56
u_cpu.REG_FILE._02871_,720.72
u_cpu.REG_FILE._03034_,720.52
u_cpu.ALU.SrcB\[19\],720.48
u_cpu.ALU.u_wallace._0118_,719.65
u_cpu.ALU.SrcB\[16\],719.08
u_cpu.REG_FILE._02867_,718.925
u_cpu.REG_FILE._05246_,717.5
u_cpu.REG_FILE._03212_,717.45
u_cpu.REG_FILE._02956_,716.925
u_cpu.REG_FILE._01029_,716.76
u_cpu.REG_FILE._04459_,712.08
u_cpu.REG_FILE._01550_,711.58
u_cpu.REG_FILE._02843_,711.29
u_cpu.REG_FILE._03063_,711.09
u_cpu.REG_FILE._05240_,710.82
u_cpu.REG_FILE._01115_,710.15
u_cpu.REG_FILE._02953_,709.93
u_cpu.REG_FILE._02791_,709.72
u_cpu.REG_FILE._02866_,709.7
u_cpu.REG_FILE._02767_,708.8
u_cpu.REG_FILE._01858_,707.81
u_cpu.REG_FILE._02799_,707.76
u_cpu.ALU.SrcA\[27\],707.225
u_cpu.REG_FILE._01058_,706.21
u_cpu.REG_FILE._03133_,705.38
u_cpu.REG_FILE._01106_,705.37
u_cpu.REG_FILE._01265_,705.07
u_cpu.REG_FILE._01214_,704.585
u_cpu.REG_FILE._01129_,704.55
u_cpu.REG_FILE._03218_,704.08
u_cpu.REG_FILE._01552_,703.77
u_cpu.REG_FILE._01310_,703.53
u_cpu.REG_FILE._01148_,702.86
u_cpu.REG_FILE._03006_,701.57
u_cpu.REG_FILE._02854_,701.54
u_cpu.REG_FILE._04463_,699.89
u_cpu.REG_FILE._03132_,697.18
u_cpu.ALU.SrcA\[15\],696.77
u_cpu.REG_FILE._01293_,695.17
u_cpu.REG_FILE._02940_,693.3
u_cpu.REG_FILE._02988_,692.1
u_cpu.REG_FILE._01549_,689.27
u_cpu.REG_FILE._03331_,687.53
u_cpu.REG_FILE._02872_,686.66
u_cpu.ALU.SrcB\[4\],686.34
u_cpu.REG_FILE._03287_,686.04
u_cpu.REG_FILE._01969_,683.25
io_out[17],683.21
u_cpu.REG_FILE._03090_,682.315
u_cpu.REG_FILE._03003_,681.46
u_cpu.REG_FILE._01611_,681.27
u_cpu.ALU.u_wallace._0272_,679.42
u_cpu.REG_FILE._02970_,678.97
u_cpu.REG_FILE._01384_,677.78
u_cpu.REG_FILE._02824_,677.45
u_cpu.REG_FILE._02903_,676.59
u_cpu.REG_FILE._03015_,676.18
u_cpu.REG_FILE._03141_,675.03
u_cpu.REG_FILE._01521_,674.665
u_cpu.REG_FILE._03060_,674.61
io_out[23],674.54
u_cpu.REG_FILE._03530_,674.46
u_cpu.REG_FILE._01404_,674.37
u_cpu.ALU.SrcA\[31\],673.95
u_cpu.REG_FILE._04618_,673.73
u_cpu.REG_FILE._01528_,673.44
u_cpu.REG_FILE._01307_,671.3
u_cpu.REG_FILE._03470_,671.01
u_cpu.ALU.SrcA\[24\],670.97
u_cpu.ALU.u_wallace._0129_,670.85
u_cpu.REG_FILE._02963_,667.73
u_cpu.REG_FILE._02961_,667.29
u_cpu.REG_FILE._01053_,665.75
u_cpu.REG_FILE._02760_,664.85
u_cpu.REG_FILE._01547_,664.81
u_cpu.REG_FILE._03407_,664.14
u_cpu.REG_FILE._01414_,663.4
u_cpu.REG_FILE._01386_,662.36
u_cpu.REG_FILE._01321_,661.79
u_cpu.REG_FILE._02777_,661.725
u_cpu.REG_FILE._03125_,660.78
u_cpu.REG_FILE._02774_,660.76
u_cpu.ALU.SrcA\[18\],660.53
u_cpu.REG_FILE._03064_,660.49
u_cpu.REG_FILE._03129_,660.39
u_cpu.REG_FILE._02985_,659.15
u_cpu.REG_FILE._03076_,657.42
u_cpu.ALU.u_wallace._2801_,657.32
u_cpu.REG_FILE._02752_,657.21
u_cpu.REG_FILE._03075_,652.68
u_cpu.REG_FILE._02768_,649.91
u_cpu.REG_FILE._01298_,648.1
u_cpu.REG_FILE._03000_,647.11
u_cpu.REG_FILE._03114_,646.09
u_cpu.REG_FILE._01304_,645.245
u_cpu.REG_FILE._03311_,644.94
u_cpu.REG_FILE._01047_,644.38
u_cpu.REG_FILE._01690_,640.25
u_cpu.REG_FILE._01603_,640.06
u_cpu.REG_FILE._01140_,639.8
u_cpu.REG_FILE._01308_,639.7
u_cpu.ALU.SrcB\[9\],638.06
io_out[3],637.92
u_cpu.REG_FILE._05250_,637.915
u_cpu.REG_FILE._01287_,637.625
u_cpu.REG_FILE._01042_,637.31
u_cpu.ALU.SrcB\[18\],635.2
u_cpu.REG_FILE._02875_,633.68
u_cpu.REG_FILE._01811_,633.24
u_cpu.REG_FILE._02965_,632.34
u_cpu.IMEM._0858_,632.22
u_cpu.ALU.u_wallace._0621_,631.995
u_cpu.REG_FILE._01774_,631.74
u_cpu.REG_FILE._02782_,629.26
u_cpu.REG_FILE._01553_,628.96
u_cpu.ALU.SrcA\[30\],628.42
u_cpu.REG_FILE._02949_,627.97
io_out[6],627.52
u_cpu.REG_FILE._03026_,624.12
u_cpu.REG_FILE._01345_,622.69
u_cpu.REG_FILE._01078_,620.665
u_cpu.REG_FILE._01264_,619.2
u_cpu.IMEM._0180_,619.13
u_cpu.REG_FILE._01139_,618.78
u_cpu.ALU.SrcA\[3\],618.44
u_cpu.REG_FILE._01475_,617.92
u_cpu.REG_FILE._01632_,617.4
u_cpu.REG_FILE._01804_,615.38
u_cpu.REG_FILE._02836_,614.33
u_cpu.REG_FILE._01070_,613.92
u_cpu.REG_FILE._01668_,613.66
u_cpu.REG_FILE._02851_,613.51
u_cpu.REG_FILE._02832_,612.93
u_cpu.REG_FILE._02780_,612.22
u_cpu.REG_FILE._01196_,610.93
u_cpu.REG_FILE._01111_,610.51
u_cpu.REG_FILE._01132_,610.48
u_cpu.REG_FILE._03221_,609.96
u_cpu.ALU.u_wallace._0173_,608.49
u_cpu.ALU.u_wallace._1070_,608.02
u_cpu.REG_FILE._01482_,606.88
u_cpu.REG_FILE._04666_,606.54
u_cpu._0470_,606.54
u_cpu.REG_FILE._01309_,605.78
u_cpu.REG_FILE._01533_,605.78
u_cpu.ALU.SrcA\[0\],605.36
u_cpu.REG_FILE._02982_,604.505
u_cpu.REG_FILE._02975_,603.52
